Year,Month,OFHEO
2006,1,209.32
2006,2,210.23
2006,3,211.68
2006,4,212.71
2006,5,214.37
2006,6,215.37
2006,7,216.37
2006,8,216.22
2006,9,215.45
2006,10,214.48
2006,11,214.73
2006,12,211.92
2007,1,212.23
2007,2,214.99
2007,3,215.82
2007,4,216.99
2007,5,217.89
2007,6,218.28
2007,7,218.69
2007,8,216.78
2007,9,217.27
2007,10,212.78
2007,11,212.72
2007,12,211.6
2008,1,208.58
2008,2,208.62
2008,3,209.68
2008,4,210.28
2008,5,209.78
2008,6,210.87
2008,7,209.68
2008,8,208.77
2008,9,206.08
2008,10,206.07
2008,11,200.51
2008,12,201.47
2009,1,201.78
2009,2,204.24
2009,3,201.05
2009,4,203.8
2009,5,205.1
2009,6,206.55
2009,7,205.27
2009,8,204.63
2009,9,203.47
2009,10,204.22
2009,11,202.74
2009,12,199.78
2010,1,196.35
2010,2,197.64
2010,3,198.89
2010,4,202.13
2010,5,204.25
2010,6,204.61
2010,7,200.13
2010,8,201.76
2010,9,198.03
2010,10,197.87
2010,11,195.11
2010,12,193.46
